Row,Equipment Number,Original Description,Suspect Tokens
1608,2000029065,B002 Vertical Lift/roll U Pump,"B002, Pump, U"
1609,2000029066,B003 Vertical Lift/roll U Pump,"Pump, U"
1610,2000029067,B004 Vertical Lift/roll U Pump,"Pump, U"
1611,2000029068,B005 Vertical Lift/roll U Pump,"Pump, U"
1612,2000029069,B006 Vertical Lift/roll U Pump,"B006, Pump, U"
1613,2000029070,C209 Vertical Lift/roll U Pump,"Pump, U"
1614,2000029071,C210 Vertical Lift/roll U Pump,"Pump, U"
1615,2000029072,C211 Vertical Lift/roll U Pump,"Pump, U"
1616,2000029073,C212 Vertical Lift/roll U Pump,"Pump, U"
1617,2000029074,J006 Vertical Lift/roll U Pump,"Pump, U"
1618,2000029075,J007 Vertical Lift/roll U Pump,"Pump, U"
1619,2000029076,J008 Vertical Lift/roll U Pump,"J008, Pump, U"
1620,2000029077,J009 Vertical Lift/roll U Pump,"J009, Pump, U"
1621,2000029078,P021 Personnel Door,P021
1622,2000029079,P025 Personnel Door,P025
1623,2000029080,V002 Vertical Lift/roll U Pump,"Pump, U, V002"
1624,2000029247,Smuc Cabinet 1 Tb-t1,"Smuc, Tb"
1632,2000029645,Vertical Lift/roll Up,Up
1633,2000029646,Vertical Lift/roll Up,Up
1634,2000029647,Vertical Lift/roll Up,Up
1635,2000029648,Vertical Lift/roll Up,Up
1636,2000029651,(cch) 3 Breech,cch
1637,2000029652,3 Stack Ctrl Sta Pressure South Equalizng Dampr,South
1638,2000029653,3 Stack Ctrl Sta Pressure South Equalizng Fan,South
1639,2000029654,3 Stack Ctrl Sta Pressure South Equalizng Fan Mt,"Mt, South"
1641,2000029656,31 Stack Annulus Pressure Fa North,"Fa, North"
1642,2000029657,31 Stack Annulus Pressure Fa North Motor,"Fa, North"
1643,2000029658,32 Stack Annulus Pressure Fa North,"Fa, North"
1644,2000029659,32 Stack Annulus Pressure Fa North Motor,"Fa, North"
1645,2000029660,33 Stack Annulus Pressure Fa North,"Fa, North"
1646,2000029661,33 Stack Annulus Pressure Fa North Motor,"Fa, North"
1647,2000029662,Vertical Lift/roll Up Door,Up
1648,2000029666,Lpi Cd Line,Cd
1652,2000030202,Unit Common Pump,Pump
1655,2000030205,Unit Common Pump,Pump
1656,2000030209,11 Phosphate Pump Motor,Pump
1657,2000030210,11 Phosphate Pump,Pump
1658,2000030225,12 Phosphate Pump Motor,Pump
1659,2000030226,12 Phosphate Pump,Pump
1890,2000031487,31 Window Air Cnditioner Unit 3 North Cem,North
1891,2000031488,31-1p Oxygen Analyzer - B Oiler,B
1892,2000031489,31-1s Oxygen Analyzer - B Oiler,B
1893,2000031490,31-2p Oxygen Analyzer - B Oiler,B
1894,2000031491,31-2s Oxygen Analyzer - B Oiler,B
1895,2000031492,31-3p Oxygen Analyzer - B Oiler,B
1896,2000031493,31-3s Oxygen Analyzer - B Oiler,B
1897,2000031494,31-4p Oxygen Analyzer - B Oiler,B
1898,2000031495,31-4s Oxygen Analyzer - B Oiler,B
1899,2000031496,31FFI So2 Analyzers,31FFI
1903,2000032000,32 Window Air Cnditioner Unit 3 East Cem,East
